〔重刊〕本草备要,汪昂
本草纲目,序目四卷
经史证类大全本草,序目
太平惠民和剂局方,序目
救荒本草和名选,曾槃（占春）
救荒本草,补遗
阿兰陀膏药用法,撰者佚名
阿兰陀药油制法并图,大町宗卜
阿兰陀制药并用法,撰者佚名
阿兰陀制药功能,撰者佚名
挨穴集说,多纪元简
挨穴捷径,杉原敦
挨穴秘书,洛桥
挨穴明辨,撰者佚名
挨穴图说,撰者佚名
挨穴资蒙,井冈冽
艾灸通说,后藤椿庵
艾灸通说,后藤省(仲介,椿庵)
艾灸通说,附尺牍
艾灸通说,后藤省(仲介)
艾灸通讯,后藤椿庵(省)
爱日精卢藏书志,张金吾
安老怀幼书,陈直
安老怀幼书,刘宇
安老怀幼书计,陈直
安老书,邹铉
按腹图解,大田普齐
按腹针术,按摩手引
按摩手引,藤林良伯
按种扁鹊仓公列传,司马迁
按种扁鹊仓公列传一种,司马迁
按种附薛按内科摘要,薛
按种易思兰医按,易思兰
敖氏伤寒金镜录,杜本
敖氏伤寒金镜录,杜清碧
敖氏伤寒金镜录,敖氏
敖氏伤寒验证舌法图说,杜清碧
鳌头素问机原病式,刘完素
鼇头附方麻疹精要,张璐
八大家医传,冈田昌春
八大家医传,冈田元矩
八十一难经,秦越人
八十一难经,熊宗立
八十一难经辨真,吴文炳
八十一难经抄,秦越人
八十一难经图要,熊宗立
八十难经注义图序论,李
白喉修辨,陈葆善
白喉治法忌表抉微,耐修子
百病回春,王大德
百病论,著者佚名
百代医宗,涂绅
百花诗,潘?峰
百品考,山本亡半
百品考,山东亡半
百品考编,山本世孺(亡羊)
百品考编三编,山本亡羊
百品考三编,山本世孺(亡羊)
百品考三编,山本亡羊
癍疹萃英,王好古
宝产育婴养生录,著者佚名
宝丹经验录,第1集
宝素名言秘录,将宝素
保产机要,汤处士
保产心法,石成金
保赤汇编十七,朱之榛
保赤联珠,泰光弼
保赤全书,管橓
保赤全书,龚居中
保赤全书,管舜
保赤新编,任赞
保户论,陈复正
保健丛书,第1集
保命歌括,万全
保全生命论,古兰肥勒
保生碎事,汪淇
保生碎事,武之望
保生胎养良方,阙名
保生胎养良方,著者佚名
保生心鉴附活人心法附,铁峰居士
